Termo,TermoGeral,Descricao
"Impacto ambiental","","É qualquer alteração das propriedades físicas, químicas e biológicas do meio ambiente, causada por qualquer forma de matéria ou energia resultante das atividades humanas que, direta ou indiretamente afetam: I.    a saúde, a segurança e o bem-estar da população; II.   as atividades sociais e econômicas; III.  a biota; IV.   as condições estéticas e sanitárias do meio ambiente; V.    a qualidade dos recursos ambientais. (Fonte: BRASIL. Conselho Nacional do Meio Ambiente. Resolução, nº 01/86. Disponível em: <http://www.mma.gov.br/port/conama/res/res86/res0186.html> Acesso em: 19 jul 2013). "
"Incêndio florestal","","É a ocorrência do fogo sem controle em qualquer forma de vegetação. (Fonte: INSTITUTO BRASILEIRO DO MEIO AMBIENTE. Roteiro metodológico para a elaboração de planos operativos de prevenção e combate aos incêndios florestais. Disponível em: <http://www.ibama.gov.br/phocadownload/category/44-p?download=6430%3Aroteiro-metodolgico-2009>. Acesso em: 16 ago 2013). "
"Indicador sociodemográfico","","São estatísticas sobre aspectos da vida de uma nação que, em conjunto, retratam o estado social dessa nação e permitem conhecer o seu nível de desenvolvimento social. Constituem um sistema, isto é, para que tenham sentido é preciso que sejam vistos uns em relação aos outros, como elementos de um mesmo conjunto. O principal objetivo desses indicadores é permitir que se aprimore o conhecimento sobre a realidade em que se vive, através de informações que permitam comparar a qualidade de vida do país com a de outras nações, ou mesmo entre regiões brasileiras. (Fonte: Campo Grande (MS). Secretaria Municipal de Educação. Indicadores educacionais da REME. Campo Grande : SEMED, 2011. 106 p.) "
"Indústria agrícola","","indústria que processa ou beneficia matéria-prima oriunda da agricultura e a vende como produto para consumo ou matéria-prima para outras indústrias. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015).  "
"Inseticida","Defensivo agrícola","Destinado ao combate, à prevenção e ao controle dos insetos em habitações, recintos e lugares de uso público e suas cercanias. (Fonte: BRASIL. Ministério da Saúde. Glossário do Ministério da Saúde. Disponível em:<http://bvsms.saude.gov.br/bvs/publicacoes/glossario_ms.pdf > Acesso em: 20 mar 2013). "
"Instalação hidráulica","","É o sistema de abastecimento, distribuição e escoamento de água. (Fonte:COLÉGIO DE ARQUITETOS. Dicionário de terminologias arquitetônicas. Disponível em: <http://www.colegiodearquitetos.com.br/dicionario/07/02/2009/o-que-e-instalacao-hidraulica/> Acesso em: 1 mar 2013). "
"Irradiação","","Exposição à radiação (Fonte: MUNDO Educação. Disponível em: <http://www.mundoeducacao.com/fisica/a-diferenca-entre-radiacao-irradiacao.htm> Acesso em: 15 set 2015). "
"Irradiação ionizante","Irradiação",""
"Irrigação","","Conjunto de técnicas destinadas a deslocar a água no tempo ou no espaço para modificar as possibilidades agrícolas de cada região. A irrigação visa a corrigir a distribuição natural das chuvas. (Fonte: LIMA, Jorge Enoch Furquim W., FERREIRA, Raquel Scalia Alves, CHRISTOFIDIS, Demetrios. O Uso da irrigação no Brasil. Disponível em: <http://www.agencia.cnptia.embrapa.br/Repositorio/irrigacao_000fl7vsa7f02wyiv80ispcrr5frxoq4.pdf> Acesso em: 1 mar 2013). "
"Jazida","","Reservatório ou depósito já identificado e possível de ser posto em Massas individualizadas de substâncias minerais ou fosseis, encontradas na superfície ou no interior da terra, que apresentem valor econômico, constituindo riqueza mineral do País (Moreira Neto, 1976). (Fonte: BRASIL. Departamento Nacional de Infra-Estrutura de Transportes. Glossário de termos técnicos ambientais rodoviários.  Rio de Janeiro, 2006. Disponível em: <http://www.dnit.gov.br/planejamento-e-pesquisa/coordenacao-geral-de-meio-ambiente/glossario-de-termos-tecnicos-ambientais-rodoviarios-1/?searchterm=glossario> Acesso em: 24 jun 2013). "
"Lago","","Corpo de água parada, em geral doce, embora possam existir aqueles com água salgada, como acontece nas regiões de baixa pluviosidade. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Lagoa","","Formação relativamente pequena mas bastante profunda de um curso de água que contém água calma.(Fonte:  UNESCO. Glossário Internacional de Hidrologia. Disponível em:< http://webworld.unesco.org/water/ihp/db/glossary/glu/HINDPT.HTM> Acesso em: 21 jun 2013). "
"Lavoura","","preparo da terra com o objetivo de implantar uma cultura, realizado manualmente ou com a utilização de implementos agrícolas. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Lavra (Mineração)","","Fase da mineração representada pelo conjunto de operações que tem como objetivo a extração econômica das diversas substâncias minerais úteis de uma jazida até o seu beneficiamento primário. Explotação. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Lençol freático","","Lâmina de água que  se forma acima da camada impermeável mais elevada do perfil de um terreno. (Fonte: BRASIL. Departamento Nacional de Infra-Estrutura de Transportes. Glossário de termos técnicos ambientais rodoviários.  Rio de Janeiro, 2006. Disponível em: <http://www.dnit.gov.br/planejamento-e-pesquisa/coordenacao-geral-de-meio-ambiente/glossario-de-termos-tecnicos-ambientais-rodoviarios-1/?searchterm=glossario> Acesso em: 24 jun 2013). "
"Licença ambiental","","Ato administrativo pelo qual o órgão ambiental competente, estabelece as condições, restrições e medidas de controle ambiental que deverão ser obedecidas pelo empreendedor, pessoa física ou jurídica, para localizar, instalar, ampliar e operar empreendimentos ou atividades utilizadoras dos recursos ambientais considerdas efetiva ou potencialmente poluidoras ou aquelas que, sob qualqer forma, possam causar degradação ambiental. (Fonte: BRASIL. Conselho Nacional do Meio Ambiente - CONAMA. Resolução n. 237, de 19 de dezembro de 1997. Disponível em: <http://www.mma.gov.br/port/conama/res/res97/res23797.html> Acesso em: 18 jan 2013). "
"Licença de Instalação","Licença ambiental","Licença que autoriza a instalação do empreendimento ou atividade de acordo com as especificações constantes dos planos, programas e projetos aprovados, incluindo as medidas de controle ambiental e demais condicionantes, da qual constituem motivo determinante. (Fonte: BRASIL. Conselho Nacional do Meio Ambiente - CONAMA. Resolução n. 237, de 19 de dezembro de 1997. Disponível em: <http://www.mma.gov.br/port/conama/res/res97/res23797.html> Acesso em: 18 jan 2013). "
"Licença de Operação","Licença ambiental","Licença que autoriza a operação da atividade ou empreendimento, após a verificação do efetivo cumprimento do que consta das licenças anteriores, com as medidas de controle ambiental e condicionantes determinados para a operação. (Fonte: BRASIL. Conselho Nacional do Meio Ambiente - CONAMA. Resolução n. 237, de 19 de dezembro de 1997. Disponível em: <http://www.mma.gov.br/port/conama/res/res97/res23797.html> Acesso em: 18 jan 2013). "
"Licença Prévia","Licença ambiental","Licença concedida na fase preliminar do planejamento do empreendimento ou atividade aprovando sua localização e concepção, atestando a viabilidade ambiental e estabelecendo os requisitos básicos e condicionantes a serem atendidos nas próximas fases de sua implementação. (Fonte: BRASIL. Conselho Nacional do Meio Ambiente - CONAMA. Resolução n. 237, de 19 de dezembro de 1997. Disponível em: <http://www.mma.gov.br/port/conama/res/res97/res23797.html> Acesso em: 18 jan 2013). "
"Licenciamento ambiental","","Procedimento administrativo pelo qual o órgão ambiental competente licencia a localização, instalação, ampliação e a operação de empreendimentos e atividades utilizadoras de recursos ambientais consideradas efetiva ou potencialmente poluidoras ou daquelas que, sob qualquer forma, possam causar degradação ambiental, considerando as disposições legais e regulamentares e as normas técnicas aplicáveis ao caso. (Fonte: BRASIL. Conselho Nacional do Meio Ambiente - CONAMA. Resolução n. 237, de 19 de dezembro de 1997. Disponível em: <http://www.mma.gov.br/port/conama/res/res97/res23797.html> Acesso em: 18 jan 2013). "
"Licitação sustentável","","Aquelas em que se inserem critérios ambientais nas especificações contidas nos editais de licitação, para a aquisição de produtos, para a contratação de serviços, para a execução de obras, de forma a minimizar os impactos ambientais adversos gerados por essas ações. (Fonte: TORRES, Rafael Lopes. Licitações sustentáveis: a importância e o amparo constitucional e legal. Disponível em:< http://portal2.tcu.gov.br/portal/pls/portal/docs/2493665.PDF>  Acesso em: 18 jun 2013). "
"Limpeza pública","","Saneamento e controle de todos os fatores do meio físico onde o homem habita, que exercem ou podem exercer efeitos prejudiciais ao seu bem-estar físico, mental ou social. (Fonte: CARTILHA de limpeza urbana. Brasília : Ministério da Ação Social, Centro de Estudos e Pesquisas Urbanas do IBAM. Disponível em: < http://www.ibam.org.br/media/arquivos/estudos/cartilha_limpeza_urb.pdf> Acesso em: 12 nov 2014). "
"Lixão","","Disposição final do lixo pelo seu lançamento em bruto sobre o terreno, sem qualquer cuidado ou técnica especial. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Manancial","","Qualquer corpo dágua superficial ou subterrâneo, que serve como fonte de abastecimento.(Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio de Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Manejo de solo","","Conjunto de operações realizadas com objetivos de propiciar condições favoráveis à semeadura, ao desenvolvimento e à produção das plantas cultivadas, por tempo ilimitado. (Fonte: EMPRESA BRASILEIRA DE AGROPECUÁRIA. Manejo de solo Disponível em: <http://sistemasdeproducao.cnptia.embrapa.br/FontesHTML/Soja/SojaCentralBrasil2003/manejo.htm> Acesso em: 14 ago 2013). "
"Manejo florestal","","Ramo da ciência florestal que trata da prévia aplicação de sistemas silviculturais que propiciem condições de uma exploração anual ou periódica dos povoamentos, sem afetar-lhes o caráter de patrimônio florestal permanente. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário Básico de Recursos Naturais e Meio Ambiente. 2. ed. Rio de Janeiro : IBGE, 2004. Disponível em: < http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf > Acesso em: 12 nov 2014). "
"Manejo sustentável","","Administração da vegetação natural para a obtenção de benefícios econômicos, sociais e ambientais, respeitando-se os mecanismos de sustentação do ecossistema objeto do manejo e considerando-se, cumulativa ou alternativamente, a utilização de múltiplas espécies madeireiras ou não, de múltiplos produtos e subprodutos da flora, bem como a utilização de outros bens e serviços. (Fonte: BRASIL. Lei nº 12.651, de 25 de maio de 2012. Disponível em:<http://www.planalto.gov.br/ccivil_03/_Ato2011-2014/2012/Lei/L12651.htm#art83> Acesso em; 27 jun 2013). "
"Margem","","Orla de um curso de água. (Fonte: UNESCO. Glossário Internacional de Hidrologia. Disponível em:< http://webworld.unesco.org/water/ihp/db/glossary/glu/HINDPT.HTM> Acesso em: 21 jun 2013). "
"Maricultura","Aquicultura","atividades de cultivo de frutos do mar. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Mata ciliar","","Vegetação predominantemente arbórea que acompanha a margem dos rios. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Material reciclável","","Recursos que após serem utilizados podem ser reutilizados com a mesma finalidade ou ser transformados em outros produtos ou bens que atendam a outras necessidades. (Fonte: GLOSSÁRIO de termos usados em atividades agropecuárias, florestais e Ciências Ambientais. Comp. José Geraldo Pacheco Ormond. 3. ed. rev. e atual. Rio de Janeiro : BNDES, 2006. Disponível em: < http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 12 nov 2014). "
"Meio ambiente","","Conjunto dos agentes físicos, químicos, biológicos e dos fatores sociais susceptíveis de exercerem um efeito direto ou mesmo indireto, imediato ou a longo prazo, sobre todos os seres vivos, inclusive o homem. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário Básico de Recursos Naturais e Meio Ambiente. 2. ed. Rio de Janeiro : IBGE, 2004. Disponível em: < http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf > Acesso em: 12 nov 2014). "
"Meteorologia","","Ciência que estuda a atmosfera terrestre. Seus aspectos mais tradicionais e conhecidos são a previsão do tempo e a climatologia. (Fonte: O QUE é meteorologia. Disponível em: < http://fisica.ufpr.br/grimm/aposmeteo/cap1/cap1-1.html> Acesso em 13 nov 2014). "
"Mineração","",""
"Mineral","","Elemento ou composto químico de ocorrência natural formado como produto de processos inorgânicos. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Monitoramento ambiental","","O monitoramento ambiental é um processo de coleta de dados, estudo e acompanhamento contínuo e sistemático das variáveis ambientais, com o objetivo de identificar e avaliar - qualitativa e quantitativamente - as condições dos recursos naturais em um determinado momento, assim como as tendências ao longo do tempo. As variáveis sociais, econômicas e institucionais também são incluídas neste tipo de estudo, já que exercem influências sobre o meio ambiente. (Fonte: EMBRAPA. Agência Embrapa de informação tecnológica. Monitoramento ambinetal. Disponível em:< http://www.agencia.cnptia.embrapa.br/gestor/cana-de-acucar/arvore/CONTAG01_73_711200516719.html> Acesso em: 22 out 2015). "
"Mudança do clima","",""
"Nascente","","Local de onde a água emerge naturalmente, de uma rocha ou do solo, para a superfície do solo ou para uma massa de água superficial. (Fonte: UNESCO. Glossário Internacional de Hidrologia. Disponível em:< http://webworld.unesco.org/water/ihp/db/glossary/glu/HINDPT.HTM> Acesso em: 21 jun 2013). "
"Oceano","",""
"Organização agrária","",""
"Ouro","","Elemento de número atômico 79, metálico, amarelo, dúctil, maleável, denso, pouco reativo, utilizado em ligas preciosas (Fonte: AURÉLIO On-line. Positivo Informática, 2010. Disponível em: <https://contas.tcu.gov.br/dicionario/home.asp>. Acesso em: 13 mar 2013). "
"Ovinocultura","","atividade pecuária destinada à criação de ovelhas. Dividida em ovinocultura de corte para produção de carnes e peles e ovinocultura de leite. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Parcelamento do solo","","Qualquer forma de divisão de uma gleba em unidades autônomas, podendo ser classificada em loteamento ou desmembramento, regulamentada por legislação específica. É a divisão do solo em porções autônomas, mediante loteamento ou desmembramento, respeitados os interesses públicos. Deve atender, de um modo geral: à circulação, através da abertura de logradouros, segundo a conveniência pública, ao dimensionamento das porções de terra, as testadas mínimas das porções sobre o logradouro e a defesa dos aspectos paisagísticos, das características ecológicas e do domínio público. (Fonte: VOCABULÁRIO BÁSICO DE MEIO AMBIENTE. Org. Iara Verocai. Rio de Janeiro : Secretaria de Estado de Meio Ambiente, 1997. Disponível em: < http://biomabrasil.org.br/site/wp-content/uploads/2013/02/vocabulario_basico_de_meio_ambiente.pdf> Acesso em: 12 nov 2014). "
"Parque indígena","","Área contida em terra na posse de índios, cujo grau de integração permita assistência econômica, educacional e sanitária dos órgãos da União, em que se preservem as reservas de flora e fauna e as belezas naturais da região. (Fonte: BRASIL. Ministério Público Federal.O que é lixo orgânico e inorgânico. Disponível em: <http://gesto.prdf.mpf.mp.br/legislacao-e-outros-documentos/o_que_e_lixo_organico_e_inorganico.pdf> Acesso em: 14 ago 2013). Lei nº 6.001, de 19 de dezembro de 1973. Disponível em:< http://www.planalto.gov.br/ccivil_03/leis/l6001.htm> Acesso em: 14 ago 2013). "
"Pastagem","","vegetação própria para alimentação do gado, podendo ser natural ou plantada com espécies perenes ou de ciclo anual. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Patrimônio genético","","Toda informação de origem genética, contida em amostras do todo ou de parte de espécime vegetal, fúngico, microbiano ou animal, na forma de moléculas e substâncias provenientes do metabolismo destes seres vivos e de extratos obtidos destes organismos vivos ou mortos, encontrados em condições in situ, inclusive domesticados, ou mantidos em coleções ex situ, desde que coletados em condições in situ no território nacional, na plataforma continental ou na zona econômica exclusiva. (Fonte: BRASIL. Medida Provisória 2.186-16/2001. Disponível em: <http://www.planalto.gov.br/ccivil_03/mpv/2186-16.htm> Acesso em: 16 set 2014). "
"Pecuária","","atividade agrícola que tem por finalidade a criação de gado. Este termo é muito utilizado para a criação de bovinos, embora se relaciona a todo tipo de gado. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Pedra preciosa","Mineral",""
"Pesca","","é todo ato de capturar ou extrair elementos animais ou vegetais que tenham na água seu normal ou mais frequente meio de vida. (Fonte: ORMOND, José Geraldo Pacheco. Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Petróleo","Combustível fóssil","Todo e qualquer hidrocarboneto líquido em seu estado natural, a exemplo do óleo cru e condensado. (Fonte: BRASIL. Lei nº 9.478, de 6 de agosto de 1997. Dispõe sobre a política energética nacional, as atividades relativas ao monopólio do petróleo, institui o Conselho Nacional de Política Energética e a Agência Nacional do Petróleo e dá outras providências. Disponível em: <http://www.planalto.gov.br/ccivil_03/leis/l9478.htm> Acesso em: 06 mar 2013). "
"Piscicultura","Aquicultura","atividade de criação de peixe em cativeiro em tanques, redes ou viveiros de água doce ou salgada. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Planejamento energético","","O planejamento energético apresenta um elevado grau de utilidade. Pelo lado da oferta de energia, ele permite identificar as fontes energéticas mais adequadas em termos tecnológico, econômico, social e ambiental para atender as demandas da sociedade. Pelo lado da demanda, ele permite identificar as tecnologias de uso final capazes de tornar mais eficiente e racional o uso das fontes de energia. Através da construção de cenários futuros sobre o comportamento das demandas, o planejamento energético é de fundamental importância na resolução de conflitos envolvendo oferta e demanda de energia, meio ambiente e desenvolvimento econômico. (Fonte: SILVA, Marcos Vinicious Miranda, BERMANN, Célio. O planejamento energético como ferramenta de auxílio às tomadas de decisão sobre a oferta de energia na zona rural. Disponível em:<http://www.proceedings.scielo.br/scielo.php?pid=MSC0000000022002000200034&script=sci_arttext> Acesso em: 08 out 2014). "
"Plano de manejo","",""
"Política agrícola","","conjunto de ações do governo destinado a influir nas decisões dos agentes responsáveis por atividades agrícolas, visando à consecução de determinados objetivos como produção, comercialização e armazenagem de produtos agrícolas através de mecanismos como fornecimento de infraestrutura, créditos, mecanismos fiscais, armazenagem etc. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Política ambiental","","Parte da política governamental (de um estado ou do país) que se refere à proteção e à gestão do meio ambiente; mesmo tendo seus próprios objetivos, estes estão subordinados aos objetivos da política maior, devendo se compatibilizar e integrar às demais políticas setoriais e institucionais desse governo.  (Fonte: VOCABULÁRIO BÁSICO DE MEIO AMBIENTE. Org. Iara Verocai. Rio de Janeiro : Secretaria de Estado de Meio Ambiente, 1997. Disponível em: < http://biomabrasil.org.br/site/wp-content/uploads/2013/02/vocabulario_basico_de_meio_ambiente.pdf> Acesso em: 12 nov 2014). "
"Política energética","","Políticas nacionais para o aproveitamento racional das fontes de energia. (BRASIL. Lei nº 9.478, de 6 de agosto de 1997. Dispõe sobre a política energética nacional, as atividades relativas ao monopólio do petróleo, institui o Conselho Nacional de Política Energética e a Agência Nacional do Petróleo e dá outras providências. Disponível em: <http://www.planalto.gov.br/ccivil_03/leis/l9478.htm> Acesso em: 06 mar 2013). "
"Poluição","","Degradação da qualidade ambiental resultante das atividades que direta ou indiretamente prejudiquem a saúde, a segurança e o bem-estar da população, criem condições adversas às atividades sociais e econômicas, afetem desfavoravelmente a biota, afetem as condições estéticas ou sanitárias do meio ambiente, e lancem materiais ou energia em desacordo com os padrões ambientais estabelecidos. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"População indígena","População",""
"Praga","","insetos, fungos ou outros animais ou vegetais nocivos a determinadas culturas. Muitas das pragas e doenças que afetam as plantas são provenientes da ação destes organismos, porém elas só são atacadas quando estão desequilibradas ou não estão sendo cultivadas corretamente. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Pré-sal","","Região do subsolo formada por um prisma vertical de profundidade indeterminada, com superfície poligonal definida pelas coordenadas geográficas de seus vértices estabelecidas no Anexo desta Lei, bem como outras regiões que venham a ser delimitadas em ato do Poder Executivo, de acordo com a evolução do conhecimento geológico. (Fonte. BRASIL. Lei n. 12.351, de 22 de dezembro de 2010. Dispõe sobre a exploração e a produção de petróleo, de gás natural e de outros hidrocarbonetos fluidos, sob o regime de partilha de produção, em áreas do pré-sal e em áreas estratégicas; cria o Fundo Social - FS e dispõe sobre sua estrutura e fontes de recursos; altera dispositivos da Lei no 9.478, de 6 de agosto de 1997; e dá outras providências. Disponível em: <http://www.planalto.gov.br/ccivil_03/_Ato2007-2010/2010/Lei/L12351.htm> Acesso em: 17 dez 2012). "
"Preservação ambiental","","É tornar intocável os recursos naturais e o meio ambiente, preservando-os para o deleite das futuras gerações. Não se deve confundir com proteção e conservação que permitem o uso e aproveitamento racional. (Fonte: SERGIPE. Superintendência de Recursos Hídricos. Glossário de recursos hídricos. Disponível: <http://www.semarh.se.gov.br/srh/modules/tinyd0/index.php?id=8> Acesso em: 21 jun 2013). "
"Prevenção de incêndio","",""
"Produção agrícola","",""
"Produto radioativo","","Material gerado durante o processo de produção ou utilização de combustíveis nucleares. Recebe também essa denominação o material cuja radiação tem origem durante as radiações inerentes ao processo antes indicado, aos quais se expôs. (Fonte: DESCRITORES em Ciências da Saúde. Disponível em: <http://decs.bvsalud.org/cgi-bin/wxis1660.exe/decsserver/> Acesso em: 08 abr 2013). "
"Produto transgênico","",""
"Propriedade","",""
"Propriedade rural","Propriedade","o prédio rústico de área contínua, qualquer que seja a sua localização, que se destine ou possa se destinar à exploração agrícola, pecuária, extrativa vegetal, florestal ou agroindustrial. (Fonte: BRASIL. Lei n. 8.629, de 25 de fevereiro de 1993. Dispõe sobre a regulamentação dos dispositivos constitucionais relativos à reforma agrária, previstos no Capítulo III, Título VII, da Constituição Federal. Artigo 4º. Disponível em: http://www.planalto.gov.br/ccivil_03/leis/l8629.htm. Acesso em: 23 out 2014). "
"Proteção ambiental","","É o ato de proteger, de defender, de socorrer, de manter, de conservar o meio ambiente e os recursos hídricos, utilizando-os racionalmente. (Fonte: SERGIPE. Superintendência de Recursos Hídricos. Glossário de recursos hídricos. Disponível: <http://www.semarh.se.gov.br/srh/modules/tinyd0/index.php?id=8> Acesso em: 21 jun 2013). "
"Qualidade ambiental","","É o estado do ar, do solo e dos ecossistemas, em relação aos efeitos da ação humana. (Fonte: BRASIL. Departamento Nacional de Infra-Estrutura de Transportes. Glossário de termos técnicos ambientais rodoviários. Rio de Janeiro, 2006. Disponível em: <http://www.dnit.gov.br/planejamento-e-pesquisa/coordenacao-geral-de-meio-ambiente/glossario-de-termos-tecnicos-ambientais-rodoviarios-1/?searchterm=glossario> Acesso em: 24 jun 2013). "
"Queima controlada","","Emprego do fogo como fator de produção e manejo em atividades agropastoris ou florestais, e para fins de pesquisa científica e tecnológica, em áreas com limites físicos previamente definidos. (Fonte: INSTITUTO BRASILEIRO DO MEIO AMBIENTE. Queima controlada. Disponível em: <http://www.ibama.gov.br/areas-tematicas/queima-controlada> Aceso em: 16 ago 2013). "
"Queimada","","Prática agrícola rudimentar, proibida pelo artigo 27 do Código Florestal, que consiste na queima da vegetação natural, quase sempre matas, com o fim de preparar o terreno para semear ou plantar; essa prática prejudica a fertilidade do solo pela liberação dos sais minerais. (BRASIL. Departamento Nacional de Infra-Estrutura de Transportes. Glossário de termos técnicos ambientais rodoviários.  Rio de Janeiro, 2006. Disponível em: <http://www.dnit.gov.br/planejamento-e-pesquisa/coordenacao-geral-de-meio-ambiente/glossario-de-termos-tecnicos-ambientais-rodoviarios-1/?searchterm=glossario> Acesso em: 25 fev 2013). "
"Ração","Alimentação animal","alimento composto de vários nutrientes, naturais ou sintéticos, como vitaminas, proteínas, amidos, farelos etc. Necessário para o fornecimento de energia para manter em boas condições de funcionamento o organismo de animais, durante um certo período. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Radiação","","Processo de emissão de energia eletromagnética (calor, luz raios gama, raios X) e partículas subatômicas (elétrons, nêutrons, partículas alfa, etc.).  As três formas principais de radiação são: alfa, beta e gama. (Fonte: VOCABULÁRIO BÁSICO DE MEIO AMBIENTE. Org. Iara Verocai. Rio de Janeiro : Secretaria de Estado de Meio Ambiente, 1997. Disponível em: < http://biomabrasil.org.br/site/wp-content/uploads/2013/02/vocabulario_basico_de_meio_ambiente.pdf> Acesso em: 12 nov 2014). "
"Radiação ionizante","Radiação",""
